weaver.World,1343
weaver.WildcardedUnresolvedType,37
weaver.WeaverStateInfo,389
weaver.WeaverMessages,163
weaver.WeakClassLoaderReference,27
weaver.VersionedDataInputStream,51
weaver.Utils,17
weaver.UnresolvedTypeVariableReferenceType,60
weaver.UnresolvedType,637
weaver.TypeVariableReferenceType,102
weaver.TypeVariableReference,4
weaver.TypeVariableDeclaringElement,4
weaver.TypeVariable,248
weaver.TypeFactory,283
weaver.tools.WeavingClassLoader,5
weaver.tools.WeavingAdaptor,584
weaver.tools.UnsupportedPointcutPrimitiveException,18
weaver.tools.TypePatternMatcher,4
weaver.tools.TraceFactory,51
weaver.tools.Traceable,4
weaver.tools.Trace,24
weaver.tools.StandardPointcutParser,358
weaver.tools.StandardPointcutExpression,12
weaver.tools.ShadowMatch,8
weaver.tools.PointcutPrimitive,31
weaver.tools.PointcutParser,385
weaver.tools.PointcutParameter,6
weaver.tools.PointcutExpression,27
weaver.tools.PointcutDesignatorHandler,5
weaver.tools.MatchingContext,5
weaver.tools.JoinPointMatch,5
weaver.tools.ISupportsMessageContext,5
weaver.tools.GeneratedClassHandler,4
weaver.tools.FuzzyBoolean,13
weaver.tools.DefaultTraceFactory,32
weaver.tools.DefaultTrace,74
weaver.tools.DefaultMatchingContext,18
weaver.tools.ContextBasedMatcher,8
weaver.tools.CommonsTraceFactory,8
weaver.tools.CommonsTrace,77
weaver.tools.cache.WeavedClassCache,140
weaver.tools.cache.GeneratedCachedClassHandler,17
weaver.tools.cache.DefaultFileCacheBacking,245
weaver.tools.cache.DefaultCacheKeyResolver,63
weaver.tools.cache.DefaultCacheFactory,9
weaver.tools.cache.CacheStatistics,72
weaver.tools.cache.CacheKeyResolver,10
weaver.tools.cache.CacheFactory,5
weaver.tools.cache.CachedClassReference,24
weaver.tools.cache.CachedClassEntry,34
weaver.tools.cache.CacheBacking,8
weaver.tools.AbstractTrace,122
weaver.TemporaryTypeMunger,14
weaver.StaticJoinPointFactory,3
weaver.StandardAnnotation,108
weaver.SourceContextImpl,69
weaver.SimpleAnnotationValue,88
weaver.SignatureUtils,203
weaver.ShadowMunger,187
weaver.Shadow,456
weaver.ResolvedTypeMunger,323
weaver.ResolvedType,1889
weaver.ResolvedPointcutDefinition,93
weaver.ResolvedMemberImpl,818
weaver.ResolvedMember,63
weaver.ResolvableTypeList,20
weaver.reflect.StandardShadowMatchImpl,141
weaver.reflect.StandardShadow,273
weaver.reflect.ShadowMatchImpl,154
weaver.reflect.ReflectionWorld,103
weaver.reflect.ReflectionVar,113
weaver.reflect.ReflectionShadow,252
weaver.reflect.ReflectionFastMatchInfo,16
weaver.reflect.ReflectionBasedResolvedMemberImpl,121
weaver.reflect.ReflectionBasedReferenceTypeDelegateFactory,163
weaver.reflect.ReflectionBasedReferenceTypeDelegate,214
weaver.reflect.PointcutParameterImpl,22
weaver.reflect.JoinPointMatchImpl,23
weaver.reflect.Java14GenericSignatureInformationProvider,22
weaver.reflect.IReflectionWorld,6
weaver.reflect.GenericSignatureInformationProvider,9
weaver.reflect.AnnotationFinder,19
weaver.ReferenceTypeDelegate,47
weaver.ReferenceType,905
weaver.PrivilegedAccessMunger,61
weaver.Position,14
weaver.PoliceExtensionUse,55
weaver.PerTypeWithinTargetTypeMunger,53
weaver.PersistenceSupport,14
weaver.PerObjectInterfaceTypeMunger,69
weaver.patterns.WithinPointcut,109
weaver.patterns.WithincodePointcut,104
weaver.patterns.WithinCodeAnnotationPointcut,157
weaver.patterns.WithinAnnotationPointcut,149
weaver.patterns.WildTypePattern,1065
weaver.patterns.WildAnnotationTypePattern,350
weaver.patterns.TypeVariablePatternList,56
weaver.patterns.TypeVariablePattern,186
weaver.patterns.TypePatternQuestions,74
weaver.patterns.TypePatternList,490
weaver.patterns.TypePattern,234
weaver.patterns.TypeCategoryTypePattern,92
weaver.patterns.ThrowsPattern,109
weaver.patterns.ThisOrTargetPointcut,178
weaver.patterns.ThisOrTargetAnnotationPointcut,219
weaver.patterns.SimpleScope,130
weaver.patterns.SignaturePattern,696
weaver.patterns.ScopeWithTypeVariables,65
weaver.patterns.ReferencePointcut,306
weaver.patterns.PointcutRewriter,271
weaver.patterns.PointcutEvaluationExpenseComparator,131
weaver.patterns.Pointcut,284
weaver.patterns.PerTypeWithin,138
weaver.patterns.PerThisOrTargetPointcutVisitor,151
weaver.patterns.PerSingleton,92
weaver.patterns.PerObject,136
weaver.patterns.PerFromSuper,97
weaver.patterns.PerClause,61
weaver.patterns.PerCflow,124
weaver.patterns.PatternParser,1491
weaver.patterns.PatternNodeVisitor,61
weaver.patterns.PatternNode,58
weaver.patterns.ParserException,12
weaver.patterns.OrTypePattern,131
weaver.patterns.OrSignaturePattern,67
weaver.patterns.OrPointcut,101
weaver.patterns.OrAnnotationTypePattern,100
weaver.patterns.NoTypePattern,60
weaver.patterns.NotTypePattern,125
weaver.patterns.NotSignaturePattern,55
weaver.patterns.NotPointcut,84
weaver.patterns.NotAnnotationTypePattern,86
weaver.patterns.NamePattern,160
weaver.patterns.NameBindingPointcut,24
weaver.patterns.ModifiersPattern,76
weaver.patterns.KindedPointcut,350
weaver.patterns.IVerificationRequired,3
weaver.patterns.ITokenSource,10
weaver.patterns.IToken,9
weaver.patterns.ISignaturePattern,20
weaver.patterns.IScope,21
weaver.patterns.IfPointcut,459
weaver.patterns.HasThisTypePatternTriedToSneakInSomeGenericOrParameterizedTypePatternMatchingStuffAnywhereVisitor,20
weaver.patterns.HasMemberTypePatternForPerThisMatching,26
weaver.patterns.HasMemberTypePatternFinder,12
weaver.patterns.HasMemberTypePattern,148
weaver.patterns.HandlerPointcut,97
weaver.patterns.FormalBinding,46
weaver.patterns.FastMatchInfo,25
weaver.patterns.ExposedState,81
weaver.patterns.ExactTypePattern,281
weaver.patterns.ExactAnnotationTypePattern,375
weaver.patterns.ExactAnnotationFieldTypePattern,187
weaver.patterns.EllipsisTypePattern,55
weaver.patterns.DeclareTypeErrorOrWarning,93
weaver.patterns.DeclareSoft,107
weaver.patterns.DeclarePrecedence,157
weaver.patterns.DeclareParentsMixin,55
weaver.patterns.DeclareParents,274
weaver.patterns.DeclareErrorOrWarning,93
weaver.patterns.DeclareAnnotation,415
weaver.patterns.Declare,49
weaver.patterns.ConcreteCflowPointcut,140
weaver.patterns.CflowPointcut,219
weaver.patterns.BindingTypePattern,82
weaver.patterns.Bindings,97
weaver.patterns.BindingPattern,5
weaver.patterns.BindingAnnotationTypePattern,109
weaver.patterns.BindingAnnotationFieldTypePattern,119
weaver.patterns.BasicTokenSource,141
weaver.patterns.BasicToken,45
weaver.patterns.ArgsPointcut,220
